time,lat,lon,surface_sal,year
1878-08-12 05:33:00.000257536,78.05,11.3,32.47,1878
1878-08-12 09:59:59.999141888,76.11667,90.333336,22.7,1878
1878-08-12 14:30:00.001716736,78.03333,9.416667,33.71,1878
1878-08-13 02:00:00.000214528,76.03333,94.5,24.9,1878
1878-08-13 19:20:00.002288640,79.13333,5.4666667,34.43,1878
1878-08-14 02:00:00.000214528,76.13333,94.96667,9.7,1878
1878-08-14 04:00:00.000429056,76.3,95.583336,11.6,1878
1878-08-14 08:40:00.002002944,79.98333,5.6666665,34.63,1878
1878-08-14 19:20:00.002288640,80.05,8.466666,34.04,1878
1878-08-18 10:15:00.000858112,78.71667,8.333333,33.26,1878
1878-08-19 01:00:00.000107520,77.23333,101.53333,24.4,1878
1878-08-19 04:59:59.999570944,77.4,102.166664,26.5,1878
1878-08-19 08:00:00.000858112,78.15,14.116667,30.9,1878
1878-08-20 13:00:00.001716736,77.65,105.11667,32.6,1878
1878-08-31 18:00:00.000000000,75.51667,17.833334,34.4,1878
1878-09-02 00:00:00.000000000,71.63333,157.41667,15.0,1878
1879-02-10 00:00:00.000000000,14.766666,62.716667,35.35,1879
1879-02-12 00:00:00.000000000,17.2,68.71667,37.43,1879
1879-02-13 00:00:00.000000000,17.983334,70.833336,35.87,1879
1879-02-28 00:00:00.000000000,58.683334,-4.6,34.68,1879
1879-03-10 00:00:00.000000000,11.45,83.55,33.78,1879
1879-03-12 00:00:00.000000000,13.2,83.933334,34.7,1879
1879-03-15 00:00:00.000000000,17.466667,86.28333,32.86,1879
1879-04-03 00:00:00.000000000,16.266666,93.01667,32.74,1879
1879-04-06 00:00:00.000000000,10.416667,95.416664,32.99,1879
1879-08-04 00:00:00.000000000,63.266666,-175.03334,30.86,1879
1880-07-08 00:00:00.000000000,78.46667,16.0,33.38,1880
1880-07-21 15:34:59.997138944,44.783333,14.15,36.9,1880
1880-07-21 19:39:59.997711360,44.2,14.483334,37.6,1880
1880-07-22 06:20:00.000572416,43.166668,15.866667,37.7,1880
1880-07-22 10:04:59.997997056,42.916668,16.133333,37.8,1880
1880-07-22 16:14:59.998283264,42.255,17.021666,38.1,1880
1880-07-23 05:30:00.000429056,41.133335,18.288332,37.7,1880
1880-07-23 15:00:00.000000000,40.266666,19.233334,38.1,1880
1880-07-27 00:00:00.000000000,39.85,19.0,38.1,1880
1880-07-27 00:00:00.000000000,39.883335,19.783333,38.1,1880
1880-07-27 00:00:00.000000000,39.383335,17.916666,38.0,1880
1880-07-27 00:00:00.000000000,39.783333,18.533333,37.9,1880
1880-07-28 00:00:00.000000000,37.866665,15.933333,38.1,1880
1880-07-28 00:00:00.000000000,38.016666,16.25,38.1,1880
1880-07-31 00:00:00.000000000,38.066666,15.5,37.7,1880
1880-07-31 00:00:00.000000000,37.866665,15.383333,37.6,1880
1880-07-31 00:00:00.000000000,37.666668,15.233334,37.7,1880
1880-08-01 00:00:00.000000000,37.383335,15.583333,38.0,1880
1880-08-01 00:00:00.000000000,37.166668,15.316667,37.7,1880
1880-08-05 00:00:00.000000000,37.1,16.466667,38.0,1880
1880-08-05 00:00:00.000000000,37.233334,17.733334,38.0,1880
1880-08-05 00:00:00.000000000,37.0,15.4,37.7,1880
1880-08-05 07:30:00.000000000,37.055,15.288334,37.9,1880
1880-08-05 10:30:00.000000000,37.05,15.766666,38.0,1880
1880-08-05 16:00:00.001716736,37.17167,17.105,38.0,1880
1880-08-05 19:59:59.998283264,37.266666,18.105,38.1,1880
1880-08-05 21:39:59.995994624,37.3,18.45,38.1,1880
1880-08-05 23:58:59.999198720,37.338333,18.871666,38.3,1880
1880-08-06 00:00:00.000000000,37.633335,20.95,38.4,1880
1880-08-06 00:00:00.000000000,37.45,19.933332,38.3,1880
1880-08-06 02:00:00.000214528,37.388336,19.355,38.1,1880
1880-08-06 06:00:00.000000000,37.483334,20.15,38.1,1880
1880-08-06 09:59:59.999141888,37.616665,20.838333,38.4,1880
1880-08-07 00:00:00.000000000,37.9,20.816668,38.4,1880
1880-08-07 00:00:00.000000000,38.083332,20.483334,38.3,1880
1880-08-07 00:00:00.000000000,38.183334,20.5,38.1,1880
1880-08-08 00:00:00.000000000,39.2,20.4,38.3,1880
1880-08-08 00:00:00.000000000,38.6,20.466667,38.3,1880
1880-08-08 09:59:59.999141888,38.407,20.404999,38.4,1880
1880-08-08 13:59:59.998283264,38.92167,20.5,38.3,1880
1880-08-08 18:00:00.000000000,39.4,20.116667,38.1,1880
1881-07-01 22:00:00.001716736,70.46667,31.166666,34.0,1881
1881-08-07 22:00:00.001716736,69.416664,35.166668,34.0,1881
1881-08-07 22:00:00.001716736,69.25,35.166668,33.6,1881
1882-06-09 16:30:00.000000000,70.2,35.166668,34.8,1882
1882-06-09 18:00:00.000000000,70.0,35.166668,33.5,1882
1882-06-09 20:30:00.001716736,69.8,35.166668,33.5,1882
1882-06-10 00:00:00.000000000,69.7,35.166668,33.5,1882
1882-06-12 02:29:59.999785472,69.4,35.166668,33.5,1882
1882-07-14 15:00:00.000000000,70.066666,33.133335,34.3,1882
1882-07-14 18:00:00.000000000,70.26667,33.133335,34.7,1882
1882-07-14 22:00:00.001716736,70.05,33.133335,34.3,1882
1882-08-09 21:00:00.000000000,69.76667,33.45,33.6,1882
